Dataset,Classifier_Name,CV_mean,CV_std,Test_score
weatherAUS,_LR,1.0,0.0,1.0
weatherAUS,StandardScaler_LR,0.9936192112168254,0.000990295018677697,0.9944168734491315
weatherAUS,MinMaxScaler_LR,0.8874953673437471,0.004163161869895122,0.8923254165189649
weatherAUS,MaxAbsScaler_LR,0.8868972920350906,0.005014558968264108,0.8898440269408011
weatherAUS,RobustScaler_LR,1.0,0.0,1.0
weatherAUS,QuantileTransformer-Normal_LR,0.9999556933983165,8.861320336728262e-05,0.9997341368309111
weatherAUS,QuantileTransformer-Uniform_LR,0.9938186154682761,0.0012670425828027,0.9950372208436724
weatherAUS,PowerTransformer-Yeo-Johnson_LR,1.0,0.0,1.0
weatherAUS,Normalizer_LR,0.8269895190784933,0.003827638840460483,0.8347217298830202
,,,,
weatherAUS,_LR-PCA,0.8501640610726204,0.004697572243791872,0.8522686990428926
weatherAUS,StandardScaler_LR-PCA,0.8532878532072118,0.00509808539720156,0.8577632045373981
weatherAUS,MinMaxScaler_LR-PCA,0.8253500422792776,0.005885776954794296,0.8232009925558312
weatherAUS,MaxAbsScaler_LR-PCA,0.8207418366338135,0.007404669703654039,0.8185926976249557
weatherAUS,RobustScaler_LR-PCA,1.0,0.0,1.0
weatherAUS,QuantileTransformer-Normal_LR-PCA,0.9541164936699877,0.00296245532550185,0.956398440269408
weatherAUS,QuantileTransformer-Uniform_LR-PCA,0.8852578594148485,0.005725260244911056,0.8890464374335342
weatherAUS,PowerTransformer-Yeo-Johnson_LR-PCA,0.8716323522034164,0.004855194217325859,0.8743353420772776
weatherAUS,Normalizer_LR-PCA,0.8209854640377756,0.003422564523299251,0.8273661822048919
,,,,
weatherAUS,_LDA,0.8801398087796579,0.0029925795384450455,0.8829315845444877
weatherAUS,StandardScaler_LDA,0.8801398087796579,0.0029925795384450455,0.8829315845444877
weatherAUS,MinMaxScaler_LDA,0.8801398087796579,0.0029925795384450455,0.8829315845444877
weatherAUS,MaxAbsScaler_LDA,0.8801398087796579,0.0029925795384450455,0.8829315845444877
weatherAUS,RobustScaler_LDA,0.8801398087796579,0.0029925795384450455,0.8829315845444877
weatherAUS,QuantileTransformer-Normal_LDA,0.8839730366888704,0.0037423206739179518,0.8826657213753988
weatherAUS,QuantileTransformer-Uniform_LDA,0.884482572425782,0.003969031245683899,0.8830202056008508
weatherAUS,PowerTransformer-Yeo-Johnson_LDA,0.9610289273119422,0.0027211202833996935,0.9630450194966323
weatherAUS,Normalizer_LDA,0.883950593770313,0.003457791496216723,0.8884260900389933
,,,,
weatherAUS,_LDA-PCA,0.8498094806310054,0.005012319891962318,0.8516483516483516
weatherAUS,StandardScaler_LDA-PCA,0.8528669061297933,0.003980337721014812,0.859181141439206
weatherAUS,MinMaxScaler_LDA-PCA,0.8237548328115469,0.006642173226823206,0.8213399503722084
weatherAUS,MaxAbsScaler_LDA-PCA,0.8192796009676568,0.0073892933357718096,0.8177951081176887
