Dataset,Classifier_Name,CV_mean,CV_std,Test_score
sonar,_LR,0.7536764705882353,0.11373314925189718,0.7142857142857143
sonar,StandardScaler_LR,0.7415441176470589,0.10502164981119722,0.8333333333333334
sonar,MinMaxScaler_LR,0.7779411764705882,0.1205097484893602,0.7619047619047619
sonar,MaxAbsScaler_LR,0.7779411764705882,0.1205097484893602,0.7619047619047619
sonar,RobustScaler_LR,0.7352941176470588,0.07678456470647357,0.8095238095238095
sonar,QuantileTransformer-Normal_LR,0.7180147058823529,0.13492246347632048,0.8095238095238095
sonar,QuantileTransformer-Uniform_LR,0.8080882352941178,0.11689557786574935,0.7857142857142857
sonar,PowerTransformer-Yeo-Johnson_LR,0.7595588235294117,0.0890465159729476,0.8333333333333334
sonar,Normalizer_LR,0.6985294117647058,0.09667090483092856,0.6904761904761905
,,,,
sonar,_LR-PCA,0.6985294117647058,0.10151320503189597,0.6190476190476191
sonar,StandardScaler_LR-PCA,0.7525735294117647,0.14654367492037843,0.7380952380952381
sonar,MinMaxScaler_LR-PCA,0.7529411764705882,0.1454860752679988,0.7142857142857143
sonar,MaxAbsScaler_LR-PCA,0.7588235294117647,0.1422390313575092,0.7142857142857143
sonar,RobustScaler_LR-PCA,0.7338235294117647,0.13051418806856682,0.7380952380952381
sonar,QuantileTransformer-Normal_LR-PCA,0.7411764705882353,0.15509477792114182,0.7142857142857143
sonar,QuantileTransformer-Uniform_LR-PCA,0.7886029411764706,0.1173162859235945,0.7380952380952381
sonar,PowerTransformer-Yeo-Johnson_LR-PCA,0.7823529411764706,0.11677989232995187,0.7142857142857143
sonar,Normalizer_LR-PCA,0.63125,0.06864375244066241,0.5714285714285714
,,,,
sonar,_LDA,0.6985294117647058,0.13226099747577588,0.8333333333333334
sonar,StandardScaler_LDA,0.6985294117647058,0.13226099747577588,0.8333333333333334
sonar,MinMaxScaler_LDA,0.6985294117647058,0.13226099747577588,0.8333333333333334
sonar,MaxAbsScaler_LDA,0.6985294117647058,0.13226099747577588,0.8333333333333334
sonar,RobustScaler_LDA,0.6985294117647058,0.13226099747577588,0.8333333333333334
sonar,QuantileTransformer-Normal_LDA,0.6944852941176471,0.15607862574194714,0.7380952380952381
sonar,QuantileTransformer-Uniform_LDA,0.7419117647058824,0.09838663931575134,0.7857142857142857
sonar,PowerTransformer-Yeo-Johnson_LDA,0.7474264705882353,0.09627931742418938,0.7857142857142857
sonar,Normalizer_LDA,0.6922794117647059,0.11501008399447077,0.8333333333333334
,,,,
sonar,_LDA-PCA,0.7044117647058823,0.09288019220375368,0.6428571428571429
sonar,StandardScaler_LDA-PCA,0.7408088235294118,0.1426854291935664,0.7142857142857143
sonar,MinMaxScaler_LDA-PCA,0.7529411764705882,0.1454860752679988,0.7142857142857143
sonar,MaxAbsScaler_LDA-PCA,0.7588235294117647,0.1422390313575092,0.7142857142857143
sonar,RobustScaler_LDA-PCA,0.7338235294117647,0.12120314883367192,0.6904761904761905
sonar,QuantileTransformer-Normal_LDA-PCA,0.7533088235294118,0.1562949762258071,0.7142857142857143
sonar,QuantileTransformer-Uniform_LDA-PCA,0.7827205882352941,0.09922997758518891,0.7380952380952381
sonar,PowerTransformer-Yeo-Johnson_LDA-PCA,0.7823529411764706,0.11677989232995187,0.6904761904761905
sonar,Normalizer_LDA-PCA,0.6422794117647058,0.12146883010406911,0.5714285714285714
,,,,
sonar,_KNN,0.7533088235294118,0.08050463273007,0.7619047619047619
sonar,StandardScaler_KNN,0.7955882352941176,0.06995348800759733,0.8333333333333334
sonar,MinMaxScaler_KNN,0.8132352941176471,0.07409342508035653,0.7857142857142857
sonar,MaxAbsScaler_KNN,0.8077205882352942,0.06353064575326611,0.7619047619047619
sonar,RobustScaler_KNN,0.7595588235294117,0.06412675326592687,0.8333333333333334
sonar,QuantileTransformer-Normal_KNN,0.7827205882352942,0.07182679480219824,0.8333333333333334
sonar,QuantileTransformer-Uniform_KNN,0.7886029411764707,0.11126107988835932,0.9047619047619048
sonar,PowerTransformer-Yeo-Johnson_KNN,0.8128676470588235,0.10381001515944809,0.7857142857142857
sonar,Normalizer_KNN,0.7654411764705882,0.08463551509398941,0.7142857142857143
,,,,
sonar,_KNN-PCA,0.7415441176470587,0.0954474358955291,0.7142857142857143
sonar,StandardScaler_KNN-PCA,0.7529411764705882,0.07809017389861267,0.7857142857142857
sonar,MinMaxScaler_KNN-PCA,0.7591911764705882,0.10114304017639851,0.8095238095238095
sonar,MaxAbsScaler_KNN-PCA,0.7768382352941176,0.11196105527335777,0.8095238095238095
sonar,RobustScaler_KNN-PCA,0.7577205882352941,0.13474603257924794,0.7142857142857143
sonar,QuantileTransformer-Normal_KNN-PCA,0.7408088235294118,0.10286564981452605,0.7857142857142857
sonar,QuantileTransformer-Uniform_KNN-PCA,0.7397058823529411,0.08993161088670767,0.8333333333333334
sonar,PowerTransformer-Yeo-Johnson_KNN-PCA,0.7768382352941177,0.0915588813986703,0.8095238095238095
sonar,Normalizer_KNN-PCA,0.7415441176470587,0.13718753817853824,0.6904761904761905
,,,,
sonar,_CART,0.7345588235294118,0.066923883841075,0.8095238095238095
sonar,StandardScaler_CART,0.7345588235294118,0.066923883841075,0.8095238095238095
sonar,MinMaxScaler_CART,0.7345588235294118,0.066923883841075,0.8095238095238095
sonar,MaxAbsScaler_CART,0.7345588235294118,0.066923883841075,0.8095238095238095
sonar,RobustScaler_CART,0.7345588235294118,0.066923883841075,0.8095238095238095
sonar,QuantileTransformer-Normal_CART,0.7345588235294118,0.066923883841075,0.8095238095238095
