Dataset,Classifier_Name,CV_mean,CV_std,Test_score
bank-additional,_LR,0.9210873456107214,0.003897271369549948,0.9212626085062509
bank-additional,StandardScaler_LR,0.9231531159544251,0.003564947422550041,0.921920334246011
bank-additional,MinMaxScaler_LR,0.9210733782902587,0.003942193815962733,0.9201661523236585
bank-additional,MaxAbsScaler_LR,0.9165376102286389,0.004985130143325203,0.9180410101246853
bank-additional,RobustScaler_LR,0.9231482040854135,0.0035800904173932183,0.9219591023323591
bank-additional,QuantileTransformer-Normal_LR,0.9076247445593933,0.0040924063081824065,0.9106669353798147
bank-additional,QuantileTransformer-Uniform_LR,0.8996548546437353,0.0047972037900587995,0.9063201746753838
bank-additional,PowerTransformer-Yeo-Johnson_LR,0.9217336022236824,0.0035453664615846254,0.9231407891169991
bank-additional,Normalizer_LR,0.8535708837850938,0.009187942567939533,0.8580692960307399
,,,,
bank-additional,_LR-PCA,0.9200117204864583,0.003998830038322409,0.919965505281338
bank-additional,StandardScaler_LR-PCA,0.8998072683608633,0.0039900369531599466,0.9086079356793058
bank-additional,MinMaxScaler_LR-PCA,0.7466635736886131,0.012402777891160788,0.759791161349816
bank-additional,MaxAbsScaler_LR-PCA,0.7466496023214724,0.0111048871294481,0.758644839346234
bank-additional,RobustScaler_LR-PCA,0.9080041208517411,0.005384149509774018,0.9096147221659937
bank-additional,QuantileTransformer-Normal_LR-PCA,0.726416995400031,0.009056343434269974,0.7427781861744127
bank-additional,QuantileTransformer-Uniform_LR-PCA,0.7494839085940346,0.008894221339577173,0.7623695350315531
bank-additional,PowerTransformer-Yeo-Johnson_LR-PCA,0.8596494525541487,0.00770810008120292,0.8728251399498324
bank-additional,Normalizer_LR-PCA,0.8533506748402233,0.009198188839739675,0.8578503007338117
,,,,
bank-additional,_LDA,0.9220916201531082,0.0033370582669893984,0.9210082484282648
bank-additional,StandardScaler_LDA,0.9220916201531082,0.0033370582669893984,0.9210082484282648
bank-additional,MinMaxScaler_LDA,0.9220916201531082,0.0033370582669893984,0.9210082484282648
bank-additional,MaxAbsScaler_LDA,0.9220916201531082,0.0033370582669893984,0.9210082484282648
bank-additional,RobustScaler_LDA,0.9220916201531082,0.0033370582669893984,0.9210082484282648
bank-additional,QuantileTransformer-Normal_LDA,0.9020021674574343,0.0033204571453490455,0.9063460693895476
bank-additional,QuantileTransformer-Uniform_LDA,0.8944009424210728,0.0047225284839137,0.9019651276624205
bank-additional,PowerTransformer-Yeo-Johnson_LDA,0.9134350798220641,0.004377017427400042,0.9148430869103553
bank-additional,Normalizer_LDA,0.9227406124106897,0.0032240451995905702,0.9222429083995942
,,,,
bank-additional,_LDA-PCA,0.9213756059222904,0.0038048091714222776,0.9215027634838956
bank-additional,StandardScaler_LDA-PCA,0.8918745065416976,0.003610713172034691,0.9008589054733436
bank-additional,MinMaxScaler_LDA-PCA,0.7468876417334269,0.012991213025183792,0.7589711127446976
bank-additional,MaxAbsScaler_LDA-PCA,0.7483081112943217,0.010963993919957527,0.7608162960911115
bank-additional,RobustScaler_LDA-PCA,0.909336326362444,0.0056573050432373335,0.9102160714137744
bank-additional,QuantileTransformer-Normal_LDA-PCA,0.700757026875811,0.009450626557545014,0.7151723492986823
bank-additional,QuantileTransformer-Uniform_LDA-PCA,0.7464112177585368,0.017213739367050326,0.7619882168692669
bank-additional,PowerTransformer-Yeo-Johnson_LDA-PCA,0.8538661091247846,0.006855242491440687,0.8666993383974517
bank-additional,Normalizer_LDA-PCA,0.8508803729236416,0.009887234680164265,0.8553827564286957
,,,,
bank-additional,_KNN,0.8727778436225033,0.00511707994617484,0.8672861126204031
bank-additional,StandardScaler_KNN,0.8838173180115083,0.00721461624743626,0.8763216662109197
bank-additional,MinMaxScaler_KNN,0.8816727032481386,0.008897416918167832,0.8823128152496487
bank-additional,MaxAbsScaler_KNN,0.8835549773983195,0.010145053800564373,0.8836881944962339
bank-additional,RobustScaler_KNN,0.8836239485603246,0.009070068491769254,0.8791299849544313
bank-additional,QuantileTransformer-Normal_KNN,0.882663926695742,0.006683031321981791,0.8832449509746475
