Dataset,Classifier_Name,CV_mean,CV_std,Test_score
Skyserver,RobustScaler_NB,0.9420000000000002,0.006523994175349941,0.947
Skyserver,QuantileTransformer-Normal_NB,0.924625,0.011096874559983086,0.9145
Skyserver,QuantileTransformer-Uniform_NB,0.9241249999999999,0.012209755321053728,0.9155
Skyserver,PowerTransformer-Yeo-Johnson_NB,0.985125,0.002820128543169633,0.9855
Skyserver,Normalizer_NB,0.797875,0.01245052709727584,0.7985
,,,,
Skyserver,_NB-PCA,0.79625,0.012784267675545583,0.7975
Skyserver,StandardScaler_NB-PCA,0.8404999999999999,0.013876689086377897,0.8365
Skyserver,MinMaxScaler_NB-PCA,0.7816249999999999,0.014958797578682584,0.7825
Skyserver,MaxAbsScaler_NB-PCA,0.768125,0.01295726147764258,0.7635
Skyserver,RobustScaler_NB-PCA,0.8800000000000001,0.011712706775122468,0.874
Skyserver,QuantileTransformer-Normal_NB-PCA,0.835375,0.013451881838612774,0.8365
Skyserver,QuantileTransformer-Uniform_NB-PCA,0.826375,0.013115472732616236,0.825
Skyserver,PowerTransformer-Yeo-Johnson_NB-PCA,0.6285000000000001,0.016953981833185985,0.912
Skyserver,Normalizer_NB-PCA,0.79425,0.013706750161872791,0.796
,,,,
Skyserver,_SVM,0.5335000000000001,0.014819750335278943,0.532
Skyserver,StandardScaler_SVM,0.9544999999999998,0.005367727638395973,0.958
Skyserver,MinMaxScaler_SVM,0.8618750000000001,0.009830596370515898,0.8605
Skyserver,MaxAbsScaler_SVM,0.857375,0.009770011514834585,0.8555
Skyserver,RobustScaler_SVM,0.982375,0.00472526454285896,0.983
Skyserver,QuantileTransformer-Normal_SVM,0.97725,0.0027838821814150224,0.979
Skyserver,QuantileTransformer-Uniform_SVM,0.9752500000000002,0.004062019202317976,0.975
Skyserver,PowerTransformer-Yeo-Johnson_SVM,0.985,0.0029047375096555726,0.9855
Skyserver,Normalizer_SVM,0.7965,0.013167194082263689,0.798
,,,,
Skyserver,_SVM-PCA,0.5015,0.014945735177635125,0.5945
Skyserver,StandardScaler_SVM-PCA,0.8557500000000001,0.009522998477370469,0.854
Skyserver,MinMaxScaler_SVM-PCA,0.79675,0.01321930406640228,0.798
Skyserver,MaxAbsScaler_SVM-PCA,0.7966249999999999,0.013370326286220535,0.798
Skyserver,RobustScaler_SVM-PCA,0.9796249999999999,0.004543195461346563,0.983
Skyserver,QuantileTransformer-Normal_SVM-PCA,0.861,0.01083685840084663,0.861
Skyserver,QuantileTransformer-Uniform_SVM-PCA,0.8460000000000001,0.010304731922762465,0.8425
Skyserver,PowerTransformer-Yeo-Johnson_SVM-PCA,0.82875,0.010383279828647608,0.939
Skyserver,Normalizer_SVM-PCA,0.7965,0.013167194082263689,0.798
,,,,
Skyserver,_RF,0.933,0.0059476886266851565,0.9285
Skyserver,StandardScaler_RF,0.933,0.0059476886266851565,0.9285
Skyserver,MinMaxScaler_RF,0.933,0.0059476886266851565,0.9285
Skyserver,MaxAbsScaler_RF,0.933,0.0059476886266851565,0.9285
Skyserver,RobustScaler_RF,0.933,0.0059476886266851565,0.9285
Skyserver,QuantileTransformer-Normal_RF,0.933,0.0059476886266851565,0.9285
Skyserver,QuantileTransformer-Uniform_RF,0.933,0.0059476886266851565,0.9285
Skyserver,PowerTransformer-Yeo-Johnson_RF,0.86725,0.013226394066411287,0.968
Skyserver,Normalizer_RF,0.797875,0.01245052709727584,0.7985
,,,,
Skyserver,_RF-PCA,0.79775,0.012534951136721676,0.798
Skyserver,StandardScaler_RF-PCA,0.851125,0.012125000000000004,0.85
Skyserver,MinMaxScaler_RF-PCA,0.788625,0.013281213235243226,0.792
Skyserver,MaxAbsScaler_RF-PCA,0.7481249999999999,0.012288841483231866,0.7575
Skyserver,RobustScaler_RF-PCA,0.854125,0.015592967164718839,0.847
Skyserver,QuantileTransformer-Normal_RF-PCA,0.812625,0.010192675065948094,0.802
Skyserver,QuantileTransformer-Uniform_RF-PCA,0.83025,0.011149551560488882,0.8275
Skyserver,PowerTransformer-Yeo-Johnson_RF-PCA,0.6759999999999999,0.020545680811304354,0.9165
Skyserver,Normalizer_RF-PCA,0.797875,0.01245052709727584,0.799
,,,,
Skyserver,_MLP,0.6162500000000001,0.180593639146012,0.796
